Type,Price,Bedrooms,Bathrooms
House,29.900 €,3,2
Apartment,9.990 €,2,2
Apartment,619 €,2,-
Apartment,2.290 €,1,-
Apartment,3.400 €,5,0
Apartment,2.150 €,3,1
Apartment,1.700 €,1,-
Studio,1.750 €,1,-
Studio,2.220 €,1,-
Room,699 €,8,-
Room,750 €,3,-
Apartment,1.225 €,1,-
Apartment,2.250 €,3,1
Room,600 €,3,-
Apartment,2.340 €,1,-
Studio,1.730 €,1,-
Studio,1.600 €,1,-
Apartment,2.800 €,3,-
Apartment,1.400 €,1,-
Apartment,2.350 €,2,-
Apartment,2.077 €,1,-
Apartment,1.700 €,1,-
Apartment,2.740 €,2,-
Studio,2.190 €,1,-
Apartment,1.540 €,1,-
Apartment,890 €,1,1
Apartment,1.300 €,2,1
